singular,plural,sg_token_id,pl_token_id,category,sg_log_freq,pl_log_freq,sg_band,pl_band,same_band,sg_len
court,courts,1302,7829,PLACE_NOUN,2.3848747515311315,1.3613878102999222,top_tail,high,False,5
cell,cells,894,1341,OBJECT_NOUN,2.2795865616649347,2.4214218303836983,top_tail,top_tail,True,4
line,lines,1386,3104,OBJECT_NOUN,2.274038536176069,1.9184649320080647,top_tail,very_high,False,4
place,places,1659,5053,PLACE_NOUN,2.2664149551943447,1.637079014191569,top_tail,high,False,5
home,homes,1728,9076,PLACE_NOUN,2.236376444823086,1.2703778712075737,very_high,high,False,4
water,waters,1824,12685,OBJECT_NOUN,2.228717809186312,0.9979375936307899,very_high,medium,False,5
file,files,1873,4367,OBJECT_NOUN,2.215505542638752,1.7086976000417848,very_high,high,False,4
hand,hands,1133,3564,OBJECT_NOUN,2.2039744987644587,1.8121739907277143,very_high,very_high,True,4
light,lights,1708,10654,OBJECT_NOUN,2.1774597269824527,1.1707039739020182,very_high,medium,False,5
field,fields,1673,4910,PLACE_NOUN,2.1682475986037004,1.6407623704209693,very_high,high,False,5
head,heads,1481,9851,OBJECT_NOUN,2.1643921681101754,1.2215102770395418,very_high,high,False,4
thing,things,2181,1841,OBJECT_NOUN,2.1313387960556827,2.2280129287693033,very_high,very_high,True,5
area,areas,2170,3672,PLACE_NOUN,2.1267659443987577,1.8225289711731396,very_high,very_high,True,4
game,games,2165,3958,OBJECT_NOUN,2.1202914732250444,1.776165263353156,very_high,very_high,True,4
face,faces,2454,9365,OBJECT_NOUN,2.0516281299311543,1.2589102107881596,very_high,high,False,4
image,images,2460,3888,OBJECT_NOUN,2.049256859161797,1.7902626265870434,very_high,very_high,True,5
key,keys,2234,10149,OBJECT_NOUN,2.0428544527010035,1.1999575896878008,very_high,high,False,3
room,rooms,2316,9956,PLACE_NOUN,2.033370221068984,1.1984139873620272,very_high,high,False,4
school,schools,2143,6629,PLACE_NOUN,2.026484765006676,1.4616050214249328,very_high,high,False,6
protein,proteins,2601,4324,OBJECT_NOUN,2.0220622366340666,1.7240126552999342,very_high,high,False,7
country,countries,2586,4343,PLACE_NOUN,2.0147651944467286,1.722973858221859,very_high,high,False,7
site,sites,2670,4375,PLACE_NOUN,2.011584853772874,1.7166243956276699,very_high,high,False,4
book,books,1984,5098,OBJECT_NOUN,2.0091107375844075,1.6220267062440292,very_high,high,False,4
