"token_id","token_string","count"
"187","Ċ","11476981486"
"15",".","10072969681"
"13",",","9271163964"
"253","Ġthe","8322795877"
"273","Ġof","4733405750"
"285","Ġand","4054400801"
"281","Ġto","3860085147"
"247","Ġa","3187633387"
"14","-","3089797395"
"275","Ġin","2859383246"
"310","Ġis","1842733483"
"64","_","1793782985"
"326","Ġthat","1635122873"
"313","Ġ(","1585581559"
"323","Ġfor","1449485313"
"10",")","1398774839"
"27",":","1350713620"
"342","Ġwith","1160212646"
"346","Ġ""","1114973174"
"18","1","1062597058"
"19","2","1022582820"
"327","Ġon","997659478"
"369","Ġwas","988597430"
"9","(","986657388"
"309","ĠI","926454429"
"347","Ġas","925407330"
"352","Ġit","903647224"
"320","Ġbe","859674404"
"16","/","821224087"
"407","Ġby","784805174"
"50276","  ","769170814"
"84","s","755440420"
"403","Ġare","737072506"
"368","Ġyou","715918280"
"17","0","697171198"
"28",";","690848762"
"387","Ġat","681879360"
"432","Ġfrom","665923254"
"380","ĠThe","662074082"
"434","'s","658066033"
"3","""","655278156"
"11","*","647814541"
"436","Ġthis","638599124"
"92","{","637143441"
"426","Ġ=","633888489"
"428","Ġ-","632712305"
"94","}","625744617"
"417","Ġnot","620837374"
"390","Ġor","618854936"
"50274","    ","610389813"
"61","\","601267650"
"452","Ġhave","581728824"
"271","Ġan","567356268"
"449",".""","551816735"
"457","âĢĻ","549420768"
"370","Ġ$","547309777"
"186","ĉ","545267064"
"20","3","521882532"
"393","Ġ\","480961920"
"31",">","457455198"
"359","Ġwe","446196273"
"497","Ġwere","445278281"
"344","Ġhe","432444452"
"476","Ġcan","413967017"
"66","a","413672603"
"521","Ġhis","408530657"
"50254","                        ","403811289"
"5","$","400541814"
"534","Ġwhich","393440683"
"470","Ġ0","383385281"
"29","<","383138295"
"510","The","381119101"
"533","Ġbut","375374726"
"475","Ġ*","367412271"
"50270","        ","363338779"
"85","t","361196989"
"74","i","361085997"
"21","4","360988575"
"42","I","359791850"
"32","?","354235468"
"556","Ġhas","347148616"
"89","x","346481108"
"512","Ġall","345060596"
"574","Ġhad","332772249"
"581","Ġone","327813274"
"559","Ġ+","326273360"
"535","ĊĊ","325639882"
"34","A","325189331"
"337","Ġ1","324857279"
"481",").","323230830"
"588","Ġwill","317405388"
"568","=""","314307264"
"35","B","313029345"
"597","Ġthey","311598212"
"22","5","308178462"
"79","n","306045026"
"69","d","299092430"
"8","'","292153030"
"575","Âł","289885818"
"616","Ġtheir","287672387"
